q	ID1	ID2	beta	LocalOverlap	RegionalOverlap	Homogeneity	TurnoverComp	Comparison	PlotCompare	Type
0	CAGBS.18.1	CAGRh.59.1	1.544088831	0.455911169	0.295262267	0.295262267	0.455911169	CA_BSvsRh	18-59	Hetero
1	CAGBS.18.1	CAGRh.59.1	1.377802188	0.537631226	0.537631226	0.451587186	0.622197812	CA_BSvsRh	18-59	Hetero
2	CAGBS.18.1	CAGRh.59.1	1.637355116	0.221482121	0.362644884	0.221482121	0.362644884	CA_BSvsRh	18-59	Hetero
0	CAVBS.18.1	CAGRh.59.1	1.557324841	0.442675159	0.284253579	0.284253579	0.442675159	CA_BSvsRh	18-59	Hetero
1	CAVBS.18.1	CAGRh.59.1	1.422796178	0.491270996	0.491270996	0.405682719	0.577203822	CA_BSvsRh	18-59	Hetero
2	CAVBS.18.1	CAGRh.59.1	1.638336426	0.220750493	0.361663574	0.220750493	0.361663574	CA_BSvsRh	18-59	Hetero
0	CAVBS.18.3	CAGRh.59.1	1.530448718	0.469551282	0.306806283	0.306806283	0.469551282	CA_BSvsRh	18-59	Hetero
1	CAVBS.18.3	CAGRh.59.1	1.391765298	0.523084059	0.523084059	0.437023902	0.608234702	CA_BSvsRh	18-59	Hetero
2	CAVBS.18.3	CAGRh.59.1	1.640184349	0.219375128	0.359815651	0.219375128	0.359815651	CA_BSvsRh	18-59	Hetero
0	CAFBS.18.3	CAGRh.59.2	1.614117647	0.385882353	0.239067055	0.239067055	0.385882353	CA_BSvsRh	18-59	Hetero
1	CAFBS.18.3	CAGRh.59.2	1.402059306	0.512452625	0.512452625	0.426473182	0.597940694	CA_BSvsRh	18-59	Hetero
2	CAFBS.18.3	CAGRh.59.2	1.408414338	0.420036665	0.591585662	0.420036665	0.591585662	CA_BSvsRh	18-59	Hetero
0	CAGBS.18.2	CAGRh.59.2	1.557782231	0.442217769	0.283876501	0.283876501	0.442217769	CA_BSvsRh	18-59	Hetero
1	CAGBS.18.2	CAGRh.59.2	1.351762761	0.565158024	0.565158024	0.479549561	0.648237239	CA_BSvsRh	18-59	Hetero
2	CAGBS.18.2	CAGRh.59.2	1.430096032	0.398507482	0.569903968	0.398507482	0.569903968	CA_BSvsRh	18-59	Hetero
0	CAGBS.18.3	CAGRh.59.2	1.595153243	0.404846757	0.253798034	0.253798034	0.404846757	CA_BSvsRh	18-59	Hetero
1	CAGBS.18.3	CAGRh.59.2	1.359224085	0.557216679	0.557216679	0.471427723	0.640775915	CA_BSvsRh	18-59	Hetero
2	CAGBS.18.3	CAGRh.59.2	1.212744524	0.649151952	0.787255476	0.649151952	0.787255476	CA_BSvsRh	18-59	Hetero
0	CAVBS.18.1	CAGRh.59.2	1.564003103	0.435996897	0.278769841	0.278769841	0.435996897	CA_BSvsRh	18-59	Hetero
1	CAVBS.18.1	CAGRh.59.2	1.366237171	0.54979205	0.54979205	0.463874678	0.633762829	CA_BSvsRh	18-59	Hetero
2	CAVBS.18.1	CAGRh.59.2	1.427663548	0.400890289	0.572336452	0.400890289	0.572336452	CA_BSvsRh	18-59	Hetero
0	CAVBS.18.3	CAGRh.59.2	1.567525371	0.432474629	0.275896414	0.275896414	0.432474629	CA_BSvsRh	18-59	Hetero
1	CAVBS.18.3	CAGRh.59.2	1.350214301	0.566811595	0.566811595	0.481246346	0.649785699	CA_BSvsRh	18-59	Hetero
2	CAVBS.18.3	CAGRh.59.2	1.451795756	0.377604247	0.548204244	0.377604247	0.548204244	CA_BSvsRh	18-59	Hetero
0	CAFBS.18.2	CAGRh.59.3	1.551362683	0.448637317	0.289189189	0.289189189	0.448637317	CA_BSvsRh	18-59	Hetero
1	CAFBS.18.2	CAGRh.59.3	1.360723099	0.555626485	0.555626485	0.469806753	0.639276901	CA_BSvsRh	18-59	Hetero
2	CAFBS.18.2	CAGRh.59.3	1.541989857	0.297025393	0.458010143	0.297025393	0.458010143	CA_BSvsRh	18-59	Hetero
0	CAGBS.18.3	CAGRh.59.3	1.575544624	0.424455376	0.269402319	0.269402319	0.424455376	CA_BSvsRh	18-59	Hetero
1	CAGBS.18.3	CAGRh.59.3	1.355161624	0.561535075	0.561535075	0.475838723	0.644838376	CA_BSvsRh	18-59	Hetero
2	CAGBS.18.3	CAGRh.59.3	1.280436409	0.561967456	0.719563591	0.561967456	0.719563591	CA_BSvsRh	18-59	Hetero
0	CAVBS.18.1	CAGRh.59.3	1.5355233	0.4644767	0.302487562	0.302487562	0.4644767	CA_BSvsRh	18-59	Hetero
1	CAVBS.18.1	CAGRh.59.3	1.361198764	0.555122254	0.555122254	0.469293136	0.638801236	CA_BSvsRh	18-59	Hetero
2	CAVBS.18.1	CAGRh.59.3	1.507717723	0.326508251	0.492282277	0.326508251	0.492282277	CA_BSvsRh	18-59	Hetero
0	CAFBS.18.1	CAVRh.59.1	1.584236453	0.415763547	0.262437811	0.262437811	0.415763547	CA_BSvsRh	18-59	Hetero
1	CAFBS.18.1	CAVRh.59.1	1.276654307	0.647632076	0.647632076	0.566594802	0.723345693	CA_BSvsRh	18-59	Hetero
2	CAFBS.18.1	CAVRh.59.1	1.019474162	0.961795672	0.980525838	0.961795672	0.980525838	CA_BSvsRh	18-59	Hetero
0	CAFBS.18.2	CAVRh.59.1	1.561133603	0.438866397	0.281120332	0.281120332	0.438866397	CA_BSvsRh	18-59	Hetero
1	CAFBS.18.2	CAVRh.59.1	1.248616407	0.679669672	0.679669672	0.601772962	0.751383593	CA_BSvsRh	18-59	Hetero
2	CAFBS.18.2	CAVRh.59.1	1.03870162	0.925480775	0.96129838	0.925480775	0.96129838	CA_BSvsRh	18-59	Hetero
0	CAFBS.18.3	CAVRh.59.1	1.570518653	0.429481347	0.273464658	0.273464658	0.429481347	CA_BSvsRh	18-59	Hetero
1	CAFBS.18.3	CAVRh.59.1	1.260261742	0.666276604	0.666276604	0.586971923	0.739738258	CA_BSvsRh	18-59	Hetero
2	CAFBS.18.3	CAVRh.59.1	1.01868967	0.96330645	0.98131033	0.96330645	0.98131033	CA_BSvsRh	18-59	Hetero
0	CAGBS.18.3	CAVRh.59.1	1.545232274	0.454767726	0.294303797	0.294303797	0.454767726	CA_BSvsRh	18-59	Hetero
1	CAGBS.18.3	CAVRh.59.1	1.272671441	0.652139986	0.652139986	0.57149751	0.727328559	CA_BSvsRh	18-59	Hetero
2	CAGBS.18.3	CAVRh.59.1	1.086078847	0.841486929	0.913921153	0.841486929	0.913921153	CA_BSvsRh	18-59	Hetero
0	CAVBS.18.1	CAVRh.59.1	1.518418688	0.481581312	0.317159763	0.317159763	0.481581312	CA_BSvsRh	18-59	Hetero
1	CAVBS.18.1	CAVRh.59.1	1.209463667	0.72563257	0.72563257	0.653625533	0.790536333	CA_BSvsRh	18-59	Hetero
2	CAVBS.18.1	CAVRh.59.1	1.019521407	0.961704763	0.980478593	0.961704763	0.980478593	CA_BSvsRh	18-59	Hetero
0	CAVBS.18.2	CAVRh.59.2	1.493891798	0.506108202	0.338785047	0.338785047	0.506108202	CA_BSvsRh	18-59	Hetero
1	CAVBS.18.2	CAVRh.59.2	1.309803257	0.610649877	0.610649877	0.526946883	0.690196743	CA_BSvsRh	18-59	Hetero
2	CAVBS.18.2	CAVRh.59.2	1.608258147	0.243581451	0.391741853	0.243581451	0.391741853	CA_BSvsRh	18-59	Hetero
0	CAFBS.18.2	CAVRh.59.3	1.593721145	0.406278855	0.254924681	0.254924681	0.406278855	CA_BSvsRh	18-59	Hetero
1	CAFBS.18.2	CAVRh.59.3	1.304208889	0.616825042	0.616825042	0.533496679	0.695791111	CA_BSvsRh	18-59	Hetero
2	CAFBS.18.2	CAVRh.59.3	1.093998904	0.828155397	0.906001096	0.828155397	0.906001096	CA_BSvsRh	18-59	Hetero
0	CAGBS.18.2	CAVRh.59.3	1.592814371	0.407185629	0.255639098	0.255639098	0.407185629	CA_BSvsRh	18-59	Hetero
1	CAGBS.18.2	CAVRh.59.3	1.328531257	0.590167829	0.590167829	0.505421864	0.671468743	CA_BSvsRh	18-59	Hetero
2	CAGBS.18.2	CAVRh.59.3	1.091373882	0.832552558	0.908626118	0.832552558	0.908626118	CA_BSvsRh	18-59	Hetero
0	CAGBS.18.3	CAVRh.59.3	1.598139535	0.401860465	0.25145518	0.25145518	0.401860465	CA_BSvsRh	18-59	Hetero
1	CAGBS.18.3	CAVRh.59.3	1.334932132	0.583233603	0.583233603	0.498203506	0.665067868	CA_BSvsRh	18-59	Hetero
2	CAGBS.18.3	CAVRh.59.3	1.095812659	0.825129491	0.904187341	0.825129491	0.904187341	CA_BSvsRh	18-59	Hetero
0	CAVBS.18.1	CAVRh.59.3	1.533818939	0.466181061	0.303934871	0.303934871	0.466181061	CA_BSvsRh	18-59	Hetero
1	CAVBS.18.1	CAVRh.59.3	1.251377362	0.67648309	0.67648309	0.598238917	0.748622638	CA_BSvsRh	18-59	Hetero
2	CAVBS.18.1	CAVRh.59.3	1.065576962	0.876917456	0.934423038	0.876917456	0.934423038	CA_BSvsRh	18-59	Hetero
0	CAVBS.18.2	CAVRh.59.3	1.506968641	0.493031359	0.32716763	0.32716763	0.493031359	CA_BSvsRh	18-59	Hetero
1	CAVBS.18.2	CAVRh.59.3	1.269949555	0.655228808	0.655228808	0.574865704	0.730050445	CA_BSvsRh	18-59	Hetero
2	CAVBS.18.2	CAVRh.59.3	1.071240395	0.86699457	0.928759605	0.86699457	0.928759605	CA_BSvsRh	18-59	Hetero
0	CAVBS.18.3	CAVRh.59.3	1.578174187	0.421825813	0.267287234	0.267287234	0.421825813	CA_BSvsRh	18-59	Hetero
1	CAVBS.18.3	CAVRh.59.3	1.279811413	0.644068763	0.644068763	0.562730242	0.720188587	CA_BSvsRh	18-59	Hetero
2	CAVBS.18.3	CAVRh.59.3	1.090729132	0.833635814	0.909270868	0.833635814	0.909270868	CA_BSvsRh	18-59	Hetero
0	CPGBS.29.1	CAFBS.18.1	1.652924257	0.347075743	0.209976798	0.209976798	0.347075743	BS_CPvsCA	29-18	Hetero
1	CPGBS.29.1	CAFBS.18.1	1.303641446	0.617452875	0.617452875	0.534164172	0.696358554	BS_CPvsCA	29-18	Hetero
2	CPGBS.29.1	CAFBS.18.1	1.052398098	0.900421527	0.947601902	0.900421527	0.947601902	BS_CPvsCA	29-18	Hetero
0	CPGBS.29.2	CAFBS.18.1	1.7239819	0.2760181	0.160104987	0.160104987	0.2760181	BS_CPvsCA	29-18	Hetero
1	CPGBS.29.2	CAFBS.18.1	1.33477362	0.583404921	0.583404921	0.498381426	0.66522638	BS_CPvsCA	29-18	Hetero
2	CPGBS.29.2	CAFBS.18.1	1.022311436	0.956350999	0.977688564	0.956350999	0.977688564	BS_CPvsCA	29-18	Hetero
0	CPGBS.29.3	CAFBS.18.1	1.65300286	0.34699714	0.209919262	0.209919262	0.34699714	BS_CPvsCA	29-18	Hetero
1	CPGBS.29.3	CAFBS.18.1	1.315464733	0.604427429	0.604427429	0.520375233	0.684535267	BS_CPvsCA	29-18	Hetero
2	CPGBS.29.3	CAFBS.18.1	1.069105221	0.870723256	0.930894779	0.870723256	0.930894779	BS_CPvsCA	29-18	Hetero
0	CPVBS.29.2	CAFBS.18.1	1.756329114	0.243670886	0.138738739	0.138738739	0.243670886	BS_CPvsCA	29-18	Hetero
1	CPVBS.29.2	CAFBS.18.1	1.432448951	0.481516274	0.481516274	0.396210314	0.567551049	BS_CPvsCA	29-18	Hetero
2	CPVBS.29.2	CAFBS.18.1	1.549151793	0.291029071	0.450848207	0.291029071	0.450848207	BS_CPvsCA	29-18	Hetero
0	CPFBS.29.3	CAFBS.18.2	1.573595004	0.426404996	0.270975057	0.270975057	0.426404996	BS_CPvsCA	29-18	Hetero
1	CPFBS.29.3	CAFBS.18.2	1.225243219	0.706931837	0.706931837	0.632328968	0.774756781	BS_CPvsCA	29-18	Hetero
2	CPFBS.29.3	CAFBS.18.2	1.011630014	0.977007376	0.988369986	0.977007376	0.988369986	BS_CPvsCA	29-18	Hetero
0	CPGBS.29.3	CAFBS.18.2	1.609141056	0.390858944	0.242899119	0.242899119	0.390858944	BS_CPvsCA	29-18	Hetero
1	CPGBS.29.3	CAFBS.18.2	1.271302789	0.653692318	0.653692318	0.573189343	0.728697211	BS_CPvsCA	29-18	Hetero
2	CPGBS.29.3	CAFBS.18.2	1.018238866	0.964175663	0.981761134	0.964175663	0.981761134	BS_CPvsCA	29-18	Hetero
0	CPVBS.29.1	CAFBS.18.2	1.859416446	0.140583554	0.075606277	0.075606277	0.140583554	BS_CPvsCA	29-18	Hetero
1	CPVBS.29.1	CAFBS.18.2	1.358522741	0.557961284	0.557961284	0.472187355	0.641477259	BS_CPvsCA	29-18	Hetero
2	CPVBS.29.1	CAFBS.18.2	1.039547693	0.923913653	0.960452307	0.923913653	0.960452307	BS_CPvsCA	29-18	Hetero
0	CPVBS.29.2	CAFBS.18.2	1.772300469	0.227699531	0.128476821	0.128476821	0.227699531	BS_CPvsCA	29-18	Hetero
1	CPVBS.29.2	CAFBS.18.2	1.38088037	0.53441166	0.53441166	0.448351387	0.61911963	BS_CPvsCA	29-18	Hetero
2	CPVBS.29.2	CAFBS.18.2	1.434654789	0.394063586	0.565345211	0.394063586	0.565345211	BS_CPvsCA	29-18	Hetero
0	CPFBS.29.1	CAFBS.18.3	1.561048689	0.438951311	0.281190019	0.281190019	0.438951311	BS_CPvsCA	29-18	Hetero
1	CPFBS.29.1	CAFBS.18.3	1.261385762	0.664990447	0.664990447	0.585557774	0.738614238	BS_CPvsCA	29-18	Hetero
2	CPFBS.29.1	CAFBS.18.3	1.189546029	0.68131367	0.810453971	0.68131367	0.810453971	BS_CPvsCA	29-18	Hetero
0	CPFBS.29.3	CAFBS.18.3	1.569543147	0.430456853	0.274256145	0.274256145	0.430456853	BS_CPvsCA	29-18	Hetero
1	CPFBS.29.3	CAFBS.18.3	1.212149749	0.72243206	0.72243206	0.649961156	0.787850251	BS_CPvsCA	29-18	Hetero
2	CPFBS.29.3	CAFBS.18.3	1.011608089	0.977050224	0.988391911	0.977050224	0.988391911	BS_CPvsCA	29-18	Hetero
0	CPGBS.29.3	CAFBS.18.3	1.622241836	0.377758164	0.232861806	0.232861806	0.377758164	BS_CPvsCA	29-18	Hetero
1	CPGBS.29.3	CAFBS.18.3	1.289129141	0.633603204	0.633603204	0.551434947	0.710870859	BS_CPvsCA	29-18	Hetero
2	CPGBS.29.3	CAFBS.18.3	1.058015445	0.890331572	0.941984555	0.890331572	0.941984555	BS_CPvsCA	29-18	Hetero
0	CPVBS.29.1	CAFBS.18.3	1.805825243	0.194174757	0.107526882	0.107526882	0.194174757	BS_CPvsCA	29-18	Hetero
1	CPVBS.29.1	CAFBS.18.3	1.32161514	0.597697881	0.597697881	0.513299855	0.67838486	BS_CPvsCA	29-18	Hetero
2	CPVBS.29.1	CAFBS.18.3	1.097538734	0.82225915	0.902461266	0.82225915	0.902461266	BS_CPvsCA	29-18	Hetero
0	CPVBS.29.2	CAFBS.18.3	1.731843575	0.268156425	0.15483871	0.15483871	0.268156425	BS_CPvsCA	29-18	Hetero
1	CPVBS.29.2	CAFBS.18.3	1.417513756	0.496637264	0.496637264	0.410921052	0.582486244	BS_CPvsCA	29-18	Hetero
2	CPVBS.29.2	CAFBS.18.3	1.533195764	0.304464861	0.466804236	0.304464861	0.466804236	BS_CPvsCA	29-18	Hetero
0	CPVBS.29.3	CAFBS.18.3	1.82992126	0.17007874	0.092943201	0.092943201	0.17007874	BS_CPvsCA	29-18	Hetero
1	CPVBS.29.3	CAFBS.18.3	1.339864611	0.577912772	0.577912772	0.49268813	0.660135389	BS_CPvsCA	29-18	Hetero
2	CPVBS.29.3	CAFBS.18.3	1.215828166	0.644969295	0.784171834	0.644969295	0.784171834	BS_CPvsCA	29-18	Hetero
0	CPFRh.29.1	CAFRh.18.1	1.604619565	0.395380435	0.246401355	0.246401355	0.395380435	Rh_CPvsCA	29-18	Hetero
1	CPFRh.29.1	CAFRh.18.1	1.3804577	0.534853319	0.534853319	0.448794846	0.6195423	Rh_CPvsCA	29-18	Hetero
2	CPFRh.29.1	CAFRh.18.1	1.385119212	0.443919038	0.614880788	0.443919038	0.614880788	Rh_CPvsCA	29-18	Hetero
0	CPFRh.29.2	CAFRh.18.1	1.595080416	0.404919584	0.253855279	0.253855279	0.404919584	Rh_CPvsCA	29-18	Hetero
1	CPFRh.29.2	CAFRh.18.1	1.292106082	0.630275479	0.630275479	0.547860526	0.707893918	Rh_CPvsCA	29-18	Hetero
2	CPFRh.29.2	CAFRh.18.1	1.074154811	0.861929006	0.925845189	0.861929006	0.925845189	Rh_CPvsCA	29-18	Hetero
0	CPGRh.29.1	CAFRh.18.1	1.597370583	0.402629417	0.252057613	0.252057613	0.402629417	Rh_CPvsCA	29-18	Hetero
1	CPGRh.29.1	CAFRh.18.1	1.347955459	0.569227175	0.569227175	0.483728551	0.652044541	Rh_CPvsCA	29-18	Hetero
2	CPGRh.29.1	CAFRh.18.1	1.182694467	0.691053824	0.817305533	0.691053824	0.817305533	Rh_CPvsCA	29-18	Hetero
0	CPGRh.29.2	CAFRh.18.1	1.585306122	0.414693878	0.261585994	0.261585994	0.414693878	Rh_CPvsCA	29-18	Hetero
1	CPGRh.29.2	CAFRh.18.1	1.341724637	0.575911383	0.575911383	0.490618823	0.658275363	Rh_CPvsCA	29-18	Hetero
2	CPGRh.29.2	CAFRh.18.1	1.169464963	0.710183771	0.830535037	0.710183771	0.830535037	Rh_CPvsCA	29-18	Hetero
0	CPVRh.29.1	CAFRh.18.1	1.699196326	0.300803674	0.177027027	0.177027027	0.300803674	Rh_CPvsCA	29-18	Hetero
1	CPVRh.29.1	CAFRh.18.1	1.40238938	0.512113024	0.512113024	0.42613744	0.59761062	Rh_CPvsCA	29-18	Hetero
2	CPVRh.29.1	CAFRh.18.1	1.445457855	0.38364463	0.554542145	0.38364463	0.554542145	Rh_CPvsCA	29-18	Hetero
0	CPVRh.29.2	CAFRh.18.1	1.701863354	0.298136646	0.175182482	0.175182482	0.298136646	Rh_CPvsCA	29-18	Hetero
1	CPVRh.29.2	CAFRh.18.1	1.447789493	0.466148148	0.466148148	0.381416297	0.552210507	Rh_CPvsCA	29-18	Hetero
2	CPVRh.29.2	CAFRh.18.1	1.56483733	0.27808812	0.43516267	0.27808812	0.43516267	Rh_CPvsCA	29-18	Hetero
0	CPVRh.29.3	CAFRh.18.1	1.648888889	0.351111111	0.212938005	0.212938005	0.351111111	Rh_CPvsCA	29-18	Hetero
1	CPVRh.29.3	CAFRh.18.1	1.399213829	0.515383547	0.515383547	0.429374095	0.600786171	Rh_CPvsCA	29-18	Hetero
2	CPVRh.29.3	CAFRh.18.1	1.526962536	0.30978983	0.473037464	0.30978983	0.473037464	Rh_CPvsCA	29-18	Hetero
0	CPGRh.29.1	CAFRh.18.2	1.614222222	0.385777778	0.238986784	0.238986784	0.385777778	Rh_CPvsCA	29-18	Hetero
1	CPGRh.29.1	CAFRh.18.2	1.373902268	0.541720617	0.541720617	0.455707619	0.626097732	Rh_CPvsCA	29-18	Hetero
2	CPGRh.29.1	CAFRh.18.2	1.229936357	0.626100398	0.770063643	0.626100398	0.770063643	Rh_CPvsCA	29-18	Hetero
0	CPGRh.29.3	CAFRh.18.2	1.635341365	0.364658635	0.222986248	0.222986248	0.364658635	Rh_CPvsCA	29-18	Hetero
1	CPGRh.29.3	CAFRh.18.2	1.408288487	0.5060571	0.5060571	0.420163566	0.591711513	Rh_CPvsCA	29-18	Hetero
2	CPGRh.29.3	CAFRh.18.2	1.315193253	0.520689066	0.684806747	0.520689066	0.684806747	Rh_CPvsCA	29-18	Hetero
0	CPVRh.29.2	CAFRh.18.2	1.680224404	0.319775596	0.190317195	0.190317195	0.319775596	Rh_CPvsCA	29-18	Hetero
1	CPVRh.29.2	CAFRh.18.2	1.426855176	0.48716109	0.48716109	0.401683951	0.573144824	Rh_CPvsCA	29-18	Hetero
2	CPVRh.29.2	CAFRh.18.2	1.546238576	0.293461456	0.453761424	0.293461456	0.453761424	Rh_CPvsCA	29-18	Hetero
0	CPVRh.29.3	CAFRh.18.2	1.665841584	0.334158416	0.200594354	0.200594354	0.334158416	Rh_CPvsCA	29-18	Hetero
1	CPVRh.29.3	CAFRh.18.2	1.395356023	0.51936673	0.51936673	0.433325952	0.604643977	Rh_CPvsCA	29-18	Hetero
2	CPVRh.29.3	CAFRh.18.2	1.508394404	0.325913166	0.491605596	0.325913166	0.491605596	Rh_CPvsCA	29-18	Hetero
0	CPFRh.29.1	CAFRh.18.3	1.557168784	0.442831216	0.284382284	0.284382284	0.442831216	Rh_CPvsCA	29-18	Hetero
1	CPFRh.29.1	CAFRh.18.3	1.24369092	0.685372006	0.685372006	0.608116589	0.75630908	Rh_CPvsCA	29-18	Hetero
2	CPFRh.29.1	CAFRh.18.3	1.049528856	0.905616972	0.950471144	0.905616972	0.950471144	Rh_CPvsCA	29-18	Hetero
0	CPFBS.29.3	CAGBS.18.1	1.62166405	0.37833595	0.233301065	0.233301065	0.37833595	BS_CPvsCA	29-18	Hetero
1	CPFBS.29.3	CAGBS.18.1	1.27492838	0.649583795	0.649583795	0.56871557	0.72507162	BS_CPvsCA	29-18	Hetero
2	CPFBS.29.3	CAGBS.18.1	1.020287033	0.960232695	0.979712967	0.960232695	0.979712967	BS_CPvsCA	29-18	Hetero
0	CPGBS.29.3	CAGBS.18.1	1.634317862	0.365682138	0.223752151	0.223752151	0.365682138	BS_CPvsCA	29-18	Hetero
1	CPGBS.29.3	CAGBS.18.1	1.307881393	0.612768286	0.612768286	0.529190652	0.692118607	BS_CPvsCA	29-18	Hetero
2	CPGBS.29.3	CAGBS.18.1	1.023493164	0.954092192	0.976506836	0.954092192	0.976506836	BS_CPvsCA	29-18	Hetero
0	CPVBS.29.1	CAGBS.18.1	1.876515987	0.123484013	0.065804935	0.065804935	0.123484013	BS_CPvsCA	29-18	Hetero
1	CPVBS.29.1	CAGBS.18.1	1.41416361	0.500050959	0.500050959	0.414263516	0.58583639	BS_CPvsCA	29-18	Hetero
2	CPVBS.29.1	CAGBS.18.1	1.033268507	0.935605302	0.966731493	0.935605302	0.966731493	BS_CPvsCA	29-18	Hetero
0	CPFBS.29.1	CAGBS.18.2	1.551701991	0.448298009	0.288907285	0.288907285	0.448298009	BS_CPvsCA	29-18	Hetero
1	CPFBS.29.1	CAGBS.18.2	1.240169247	0.68946298	0.68946298	0.612683112	0.759830753	BS_CPvsCA	29-18	Hetero
2	CPFBS.29.1	CAGBS.18.2	1.127129583	0.77441887	0.872870417	0.77441887	0.872870417	BS_CPvsCA	29-18	Hetero
0	CPFBS.29.3	CAGBS.18.2	1.607290804	0.392709196	0.244329897	0.244329897	0.392709196	BS_CPvsCA	29-18	Hetero
1	CPFBS.29.3	CAGBS.18.2	1.265010862	0.660850227	0.660850227	0.581014092	0.734989138	BS_CPvsCA	29-18	Hetero
